date	outbreaks
2018-01-01	0
2018-01-02	20
2018-01-03	24
2018-01-04	25
2018-01-05	16
2018-01-06	6
2018-01-07	7
2018-01-08	15
2018-01-09	16
2018-01-10	21
2018-01-11	17
2018-01-12	4
2018-01-13	6
2018-01-14	5
2018-01-15	15
2018-01-16	13
2018-01-17	28
2018-01-18	16
2018-01-19	11
2018-01-20	5
2018-01-21	7
2018-01-22	22
2018-01-23	24
2018-01-24	31
2018-01-25	22
2018-01-26	13
2018-01-27	3
2018-01-28	5
2018-01-29	26
2018-01-30	15
2018-01-31	36
2018-02-01	24
2018-02-02	20
2018-02-03	5
2018-02-04	6
2018-02-05	35
2018-02-06	21
2018-02-07	17
2018-02-08	12
2018-02-09	15
2018-02-10	4
2018-02-11	2
2018-02-12	27
2018-02-13	15
2018-02-14	18
2018-02-15	13
2018-02-16	19
2018-02-17	6
2018-02-18	6
2018-02-19	19
2018-02-20	12
2018-02-21	15
2018-02-22	6
2018-02-23	0
2018-02-24	0
2018-02-25	1
2018-02-26	2
2018-02-27	7
2018-02-28	7
2018-03-01	1
2018-03-02	104
2018-03-03	9
2018-03-04	2
2018-03-05	20
2018-03-06	27
2018-03-07	14
2018-03-08	14
2018-03-09	11
2018-03-10	3
2018-03-11	7
2018-03-12	29
2018-03-13	16
2018-03-14	23
2018-03-15	10
2018-03-16	8
2018-03-17	2
2018-03-18	5
2018-03-19	10
2018-03-20	14
2018-03-21	10
2018-03-22	12
2018-03-23	8
2018-03-24	8
2018-03-25	2
2018-03-26	13
2018-03-27	15
2018-03-28	7
2018-03-29	9
2018-03-30	4
2018-03-31	3
2018-04-01	0
2018-04-02	4
2018-04-03	19
2018-04-04	7
2018-04-05	19
2018-04-06	12
2018-04-07	4
2018-04-08	5
2018-04-09	12
2018-04-10	12
2018-04-11	15
2018-04-12	6
2018-04-13	11
2018-04-14	4
2018-04-15	3
2018-04-16	14
2018-04-17	6
2018-04-18	11
2018-04-19	12
2018-04-20	7
2018-04-21	3
2018-04-22	5
2018-04-23	16
2018-04-24	11
2018-04-25	7
2018-04-26	9
2018-04-27	6
2018-04-28	10
2018-04-29	5
2018-04-30	9
2018-05-01	1
2018-05-02	15
2018-05-03	3
2018-05-04	5
2018-05-05	4
2018-05-06	3
2018-05-07	23
2018-05-08	6
2018-05-09	9
2018-05-10	4
2018-05-11	5
2018-05-12	2
2018-05-13	0
2018-05-14	14
2018-05-15	6
2018-05-16	14
2018-05-17	5
2018-05-18	7
2018-05-19	5
2018-05-20	5
2018-05-21	12
2018-05-22	8
2018-05-23	10
2018-05-24	9
2018-05-25	3
2018-05-26	3
2018-05-27	3
2018-05-28	8
2018-05-29	9
2018-05-30	7
2018-05-31	6
2018-06-01	7
2018-06-02	1
2018-06-03	3
2018-06-04	9
2018-06-05	11
2018-06-06	11
2018-06-07	10
2018-06-08	12
2018-06-09	10
2018-06-10	4
2018-06-11	26
2018-06-12	17
2018-06-13	28
2018-06-14	21
2018-06-15	15
2018-06-16	31
2018-06-17	14
2018-06-18	61
2018-06-19	36
2018-06-20	63
2018-06-21	37
2018-06-22	34
2018-06-23	21
2018-06-24	13
2018-06-25	32
2018-06-26	27
2018-06-27	24
2018-06-28	22
2018-06-29	34
2018-06-30	21
2018-07-01	21
2018-07-02	36
2018-07-03	28
2018-07-04	20
2018-07-05	21
2018-07-06	16
2018-07-07	8
2018-07-08	7
2018-07-09	17
2018-07-10	25
2018-07-11	22
2018-07-12	18
2018-07-13	10
2018-07-14	7
2018-07-15	10
2018-07-16	20
2018-07-17	12
2018-07-18	15
2018-07-19	11
2018-07-20	21
2018-07-21	5
2018-07-22	6
2018-07-23	22
2018-07-24	10
2018-07-25	24
2018-07-26	13
2018-07-27	13
2018-07-28	9
2018-07-29	7
2018-07-30	20
2018-07-31	8
2018-08-01	26
2018-08-02	12
2018-08-03	13
2018-08-04	5
2018-08-05	5
2018-08-06	20
2018-08-07	19
2018-08-08	14
2018-08-09	15
2018-08-10	24
2018-08-11	11
2018-08-12	15
2018-08-13	16
2018-08-14	24
2018-08-15	15
2018-08-16	18
2018-08-17	15
2018-08-18	5
2018-08-19	6
2018-08-20	14
2018-08-21	22
2018-08-22	19
2018-08-23	13
2018-08-24	23
2018-08-25	9
2018-08-26	5
2018-08-27	19
2018-08-28	16
2018-08-29	15
2018-08-30	24
2018-08-31	13
2018-09-01	14
2018-09-02	5
2018-09-03	29
2018-09-04	20
2018-09-05	20
2018-09-06	13
2018-09-07	15
2018-09-08	9
2018-09-09	10
2018-09-10	20
2018-09-11	7
2018-09-12	10
2018-09-13	9
2018-09-14	17
2018-09-15	7
2018-09-16	7
2018-09-17	9
2018-09-18	14
2018-09-19	6
2018-09-20	6
2018-09-21	11
2018-09-22	4
2018-09-23	6
2018-09-24	10
2018-09-25	11
2018-09-26	15
2018-09-27	10
2018-09-28	16
2018-09-29	13
2018-09-30	11
2018-10-01	11
2018-10-02	7
2018-10-03	21
2018-10-04	16
2018-10-05	8
2018-10-06	5
2018-10-07	9
2018-10-08	11
2018-10-09	15
2018-10-10	23
2018-10-11	9
2018-10-12	8
2018-10-13	15
2018-10-14	8
2018-10-15	23
2018-10-16	12
2018-10-17	23
2018-10-18	16
2018-10-19	13
2018-10-20	4
2018-10-21	9
2018-10-22	26
2018-10-23	11
2018-10-24	18
2018-10-25	16
2018-10-26	12
2018-10-27	8
2018-10-28	9
2018-10-29	14
2018-10-30	14
2018-10-31	11
2018-11-01	11
2018-11-02	7
2018-11-03	15
2018-11-04	5
2018-11-05	19
2018-11-06	13
2018-11-07	22
2018-11-08	11
2018-11-09	14
2018-11-10	7
2018-11-11	5
2018-11-12	19
2018-11-13	25
2018-11-14	16
2018-11-15	17
2018-11-16	11
2018-11-17	4
2018-11-18	8
2018-11-19	23
2018-11-20	17
2018-11-21	19
2018-11-22	14
2018-11-23	19
2018-11-24	12
2018-11-25	6
2018-11-26	19
2018-11-27	16
2018-11-28	27
2018-11-29	28
2018-11-30	11
2018-12-01	10
2018-12-02	11
2018-12-03	17
2018-12-04	31
2018-12-05	38
2018-12-06	12
2018-12-07	14
2018-12-08	1
2018-12-09	7
2018-12-10	22
2018-12-11	23
2018-12-12	19
2018-12-13	19
2018-12-14	17
2018-12-15	9
2018-12-16	4
2018-12-17	18
2018-12-18	28
2018-12-19	15
2018-12-20	19
2018-12-21	14
2018-12-22	4
2018-12-23	3
2018-12-24	3
2018-12-25	2
2018-12-26	9
2018-12-27	21
2018-12-28	11
2018-12-29	2
2018-12-30	0
2018-12-31	3
2019-01-01	0
2019-01-02	61
2019-01-03	18
2019-01-04	26
2019-01-05	4
2019-01-06	17
2019-01-07	25
2019-01-08	38
2019-01-09	28
2019-01-10	32
2019-01-11	12
2019-01-12	9
2019-01-13	19
2019-01-14	32
2019-01-15	44
2019-01-16	22
2019-01-17	12
2019-01-18	13
2019-01-19	8
2019-01-20	12
2019-01-21	30
2019-01-22	15
2019-01-23	18
2019-01-24	20
2019-01-25	18
2019-01-26	8
2019-01-27	12
2019-01-28	24
2019-01-29	20
2019-01-30	17
2019-01-31	19
2019-02-01	15
2019-02-02	10
2019-02-03	9
2019-02-04	52
2019-02-05	40
2019-02-06	20
2019-02-07	24
2019-02-08	18
2019-02-09	9
2019-02-10	21
2019-02-11	39
2019-02-12	30
2019-02-13	30
2019-02-14	22
2019-02-15	23
2019-02-16	8
2019-02-17	22
2019-02-18	29
2019-02-19	14
2019-02-20	39
2019-02-21	30
2019-02-22	16
2019-02-23	2
2019-02-24	10
2019-02-25	35
2019-02-26	29
2019-02-27	23
2019-02-28	15
2019-03-01	23
2019-03-02	14
2019-03-03	11
2019-03-04	19
2019-03-05	22
2019-03-06	13
2019-03-07	35
2019-03-08	15
2019-03-09	9
2019-03-10	6
2019-03-11	19
2019-03-12	22
2019-03-13	14
2019-03-14	14
2019-03-15	16
2019-03-16	3
2019-03-17	13
